type,party,limits,condition_id,market_name,yes_token_id,no_token_id
seats,GL-PvdA,23-25,0x29be5e3386ffe130a7759647b3b863d8ae5fdffc37c768a825d54431fe2b8a41,Will GroenLinks–PvdA win 23–25 seats in the 2025 Netherlands parliamentary election?,45579031101605138560837766473094740894513317245118224641252029958876967390190,68247951315078754657975765512966851054342551583479960505793153334555813723275
seats,GL-PvdA,26-28,0x1970582876bd1ec31a3b9ed53b310d4aa19f036f4a6f4d94c72a2aae8851945f,Will GroenLinks–PvdA win 26–28 seats in the 2025 Netherlands parliamentary election?,76333619751006036959961424633088189477639027233569668393502503962299673355946,81665460128294521620190844621085137947924547805949220189962675372101810895698
seats,GL-PvdA,29-150,0x3f24b4802bac08dcd85567198b079804e2fe914d7391e78fa55bb96d06abc3b8,Will GroenLinks–PvdA win 29 or more seats in the 2025 Netherlands parliamentary election?,114175324023838197362626277403975293974265159135814858953580411031698820868689,71164088189414556027312697243033008244536586551119501652223668047558196480163
seats,CDA,0-21,0x59ab85c73b5a2b84ee3414fbff52300988abd79389b58f5de71b9fc5af03cc39,Will CDA win 21 or fewer seats in the 2025 Netherlands parliamentary election?,55270912806282332799899506503556607123335351820398097041529559826959872172389,84734908134241361467681298295892609622389668952682783652832077301642862342964
seats,CDA,22-24,0xfc5cda4f957d57cd8620039d00cd89a3b10b9bd346e605f6f76c59b41e73644a,Will CDA win 22–24 seats in the 2025 Netherlands parliamentary election?,109268233622143526571007140369654947748725235058714662833765217437349329332749,41037546654515727353996338752085032088821240932488601149515309973807319437404
seats,CDA,25-27,0x565910ca1cf46461f9e24acfafcd1d711380289efb2bbd4fc9d5728de8ecd744,Will CDA win 25–27 seats in the 2025 Netherlands parliamentary election?,90491505590779003384918809439826459748688227566790915864462635707543680910799,73690381474159111541785696833769925971308518790811720647076245762597952264616
seats,CDA,28-150,0xd2bb0e0241a9cd7f7277eaa2a0e36e2ed4f842e67671b889fc724d829cd801f7,Will CDA win 28 or more seats in the 2025 Netherlands parliamentary election?,20879770869040035071879697465268450289158331809480249481158708155300007816604,17148622357578278848833910848944406884577000967140916585746659064161763102271
percent,D66,10-100,0x1a7d40a55ae60c5dd65ed758dcb503074916132eba2f93a701d25ab999a7a370,Democrats 66 (D66) win 10% or more of votes in Netherlands election?,29588216507131927967811529093785578338038226204194227956888362112827164829353,59509621793004941913108907899736520337067877103203001076901109802939925640491
duels,GL-PvdA|CDA,0,0x83fa0ff0655aa716cee2d86ad61f7d6efdb713038fd3f31e0c5da152bb8cfa27,Netherlands Parliamentary Election: GL-PvdA vs CDA,35292117852767052376737455930266761909756445992720934161035362092762182312222,82328809184137995210923141031577495906863394098377486581761202835093349061135
seats,JA21,0-8,0x1df8ef9d1a241b40be99ac6c07345e81dedbea9f19a6001d17a61b1ebdd42a24,Will JA21 win fewer than 9 seats in the 2025 Netherlands parliamentary election?,4503768408693626297568429083287731976897835296470436974992003668739040065598,112337501696040282432363417474161044443400996271099221478909440647107275775123
seats,JA21,9-10,0x7a3f3acaf843ccefe40013a60d90523a451fc1acd468b80d805e2584495bac7d,Will JA21 win 9–10 seats in the 2025 Netherlands parliamentary election?,99328801245780298486727314864826173907188695276404851649042688882609300651926,55925641929606796697673534927639028725137481567565231382296200206880206949147
seats,JA21,11-12,0x61ca1f1af4ba9c66bd3ead0ea599f61996f34f0d9400648d63709859fb92f53c,Will JA21 win 11–12 seats in the 2025 Netherlands parliamentary election?,56522533652174195097641930142867937819973754433114527739310967866840961754799,80862101081361857541926306483059452697661061015709588068407248558983368889249
seats,JA21,13-150,0x1cf26102f130d1894c2cb29694156be8f29b8a701020fefb6bf012abf6e3b848,Will JA21 win 13 or more seats in the 2025 Netherlands parliamentary election?,1910495338459876081934261890362954213133972281139359652254140936469050843707,87341168241675585668777927939473332588543128616847149832225602805389126806998
seats,VVD,0-13,0x0760e7fd7a5ca57ec4165aff8c97f106f7cab6854f1294c1f05826ff70d24df6,Will VVD win fewer than 14 seats in the 2025 Netherlands parliamentary election?,113106052867876526364331310359676348078196280402870864048338103242265113543640,24017955660936912532895797983176400592938116862477668628994263656678729407482
seats,VVD,14-15,0xe02264050bbb62e662217b15eb66a1f82551d0975bff9ce131796d4620b0da4c,Will VVD win 14–15 seats in the 2025 Netherlands parliamentary election?,112180081536046911645542978255539204909370108566957958509507778560337606146898,45660814531297242955694897124192732794190410533885845816963078463393883054422
seats,VVD,16-17,0x7ebc8a1b80348ded8ed21ddef079da3019d79f84ed15640aa0c2f6dc59210fa4,Will VVD win 16–17 seats in the 2025 Netherlands parliamentary election?,95686909723588523400698455198218801745421049863393123224730797372177811711082,17261359515275396161115376898954280645227493944204579821195624325925699540171
seats,VVD,18-150,0x5519c046494ba8e2e5fe03b83e868fd67d5b3ca41b67898c4f70ee8bd84b7851,Will VVD win 18 or more seats in the 2025 Netherlands parliamentary election?,107331324521875448680341970351541381463741937866038131334979886749874891478982,102639687451918807090834997924911580013878236563740373118345058395316317231642
seats,D66,0-15,0x4db9275e5f8569987a240fae43a0f75dcf462a13ad41f61e9cb49fe6ee5b6da9,Will D66 win fewer than 16 seats in the 2025 Netherlands parliamentary election?,91457811122487460507459660999092005134557947747448109373581231091552870927079,65298883508432154908441126751576013646386819939053154287895035064127502478871
seats,D66,16-17,0x1dc755d4a94ffb6b9bbf3da2ef34f5edb432564f9386a1694a51964e684ed5a2,Will D66 win 16–17 seats in the 2025 Netherlands parliamentary election?,81007999423648065226918764989015098901872543639531754148807920412244521446672,109710262912460160719512734967781978114416922271039820247763376889681514125650
seats,D66,18-19,0x4d0d3b13a7a4a1b3ad7b4a2a450f5287ada2ba1ae3e416f7d18dccee5fa77473,Will D66 win 18–19 seats in the 2025 Netherlands parliamentary election?,79059344340725535383886163744755287792552127429354476916247633499040317548793,56997112903284259078773378305335377207511876390067793893078615700500869775950
seats,D66,20-150,0x3ae5d45551a0e307be64d6e319b74d1bcece76786875a5d7fab7f7233ff65dc6,Will D66 win 20 or more seats in the 2025 Netherlands parliamentary election?,70779269110871634362898649040915953895568334512600791274880166183257483431341,78790016203390121952174539422244446598213735052221528710930388300702275183660
duels,D66|VVD,0,0xaae6e343551fe22934156d2f7272146ae188b0fd99b956fa6df302599a0eed3f,Netherlands Parliamentary Election: D66 vs VVD,73679049695871210243422029258307556940804469350057471476284090856328494255360,50277070836479080433502730719502340411047362127156352958677801414357244445082
duels,FvD|SP,0,0x1881be6d6930aeef355987183f9f800d5a49533706f586a296aa075e0c11c4b8,Netherlands Parliamentary Election: FVD vs SP,6686767637751994465911294996968405193056290832117751153934830221563360658,68971961808050232084663482187138708632465397515370403611940348724294525724627
duels,Denk|BBB,0,0x3f1826a4cb95c52e3790205d3ca2c0dd9dc34689281aaca0e5b781615513889f,Netherlands Parliamentary Election: DENK vs BBB,55544400346530851921675755843908352655594001905014859587071732792230691668280,68556056224803183584944779978941405313495839599464609141691495041806291940122
